run_id,size,start_id,test_curve,objective,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
direction_b_robustness,100,2,wsdld_20000_24000.csv,4.865638544880472e-05,0.007020439100650684,0.004110397708246297,0.0013405074453404669,0.009137541955641551,0.998057068227539,0.009137541955641551,0.00030483701376186455
direction_b_robustness,100,3,wsd_20000_24000.csv,0.0001149618254749717,0.016509447439320778,0.013024270179663825,0.004244544287181287,0.01083353304419368,0.9896256942940042,0.01038226305440359,0.003772104187101019
direction_b_robustness,100,3,wsdld_20000_24000.csv,0.0001149618254749717,0.015989615336892197,0.01272174204591049,0.004135710229252991,0.01175096997930757,0.98992128813471,0.01175096997930757,0.003669019037718721
direction_b_robustness,100,4,wsd_20000_24000.csv,3.437608409340527e-05,0.008374277548848797,0.00643915950683231,0.002097367033986021,0.007400030699555185,0.9973307535928874,0.007400030699555185,0.0002840050792362647
direction_b_robustness,100,4,wsdld_20000_24000.csv,3.437608409340527e-05,0.006913082732357819,0.005514200143233183,0.0017851072570134435,0.00805666649997609,0.99811603640586,0.00805666649997609,0.0006144603965596332
direction_b_robustness,400,0,wsd_20000_24000.csv,9.058078945563746e-05,0.014630716388281532,0.008663871981089005,0.0030624173315114247,0.014041683640310604,0.9925220936210135,0.014041683640310604,0.002906627621193437
direction_b_robustness,400,0,wsdld_20000_24000.csv,9.058078945563746e-05,0.012455269860795122,0.0075657094647114675,0.0026568112904884152,0.01555014504557198,0.9943710201699142,0.01555014504557198,0.0025255940292979537
direction_b_robustness,400,1,wsd_20000_24000.csv,0.00011756947266038108,0.017517182198694456,0.012393931519411046,0.004364367379476581,0.014958500953682976,0.989280430744252,0.01491809941141144,0.004176295210059964
direction_b_robustness,400,1,wsdld_20000_24000.csv,0.00011756947266038108,0.01584067115900116,0.011513640738978863,0.0040355274654537195,0.016664308715723237,0.9908951967326198,0.016664308715723237,0.0038675307277404973
direction_b_robustness,400,2,wsd_20000_24000.csv,6.864709313009925e-05,0.012673263264289981,0.006827233359195214,0.0024136915065809976,0.013072452370208106,0.9943891875310209,0.013072452370208106,0.0016222884244740659
direction_b_robustness,400,2,wsdld_20000_24000.csv,6.864709313009925e-05,0.010179347735266124,0.005495322866529879,0.0019258439315741496,0.014307667958703914,0.9962402124076885,0.014307667958703914,0.0011712581767050563
direction_b_robustness,400,3,wsd_20000_24000.csv,0.00014857150985032085,0.021095946490008826,0.016252090923162398,0.005710309462060956,0.015982019733350956,0.9844529902634224,0.015781721724917,0.005486784708920083
direction_b_robustness,400,3,wsdld_20000_24000.csv,0.00014857150985032085,0.019933386333338916,0.015604765961370936,0.005463622760455057,0.01772616101842955,0.9855826454954525,0.01772616101842955,0.005255495715839279
direction_b_robustness,400,4,wsd_20000_24000.csv,4.741346353359248e-05,0.010304228890254697,0.007459865466361267,0.002608085758465025,0.010636692897857963,0.996290803557563,0.010636692897857963,0.0003364628408717097
direction_b_robustness,400,4,wsdld_20000_24000.csv,4.741346353359248e-05,0.00809341109170503,0.006245044351610218,0.0021631525946894624,0.009486039479675136,0.9976232329950446,0.009486039479675136,0.00010516751496467881
