run_id,size,base_method,feature_set,alpha,test_curve,rmse,mae,prede,worste,r2,final_rel_error,auc_rel_error
ablation_cosine_train,25,mpl,fsl_light,0.01,wsd_20000_24000.csv,0.05935308508902273,0.05634359278316638,0.01617460581555298,0.019896100647899744,0.8506013796472657,0.006906852993625246,0.014409541553316314
ablation_cosine_train,25,mpl,fsl_light,0.01,wsdld_20000_24000.csv,0.05914884508436016,0.0556168072485865,0.015952976628508333,0.019885919284416485,0.84695771392097,0.007595673660192857,0.014595212969241027
ablation_cosine_train,25,mpl,fsl_light,1.0,wsd_20000_24000.csv,0.028844881824989645,0.0281318961864379,0.008096279594309018,0.010584605069542178,0.9647143989766181,0.006770159106540263,0.0061895152155713624
ablation_cosine_train,25,mpl,fsl_light,1.0,wsdld_20000_24000.csv,0.028569646723488,0.02758113665733211,0.007926409267813298,0.010599275065380455,0.9642950321529942,0.00748158961981415,0.006371743398777646
ablation_cosine_train,100,tissue,fsl_light,1e-06,wsd_20000_24000.csv,0.008609360113160621,0.007954606727655439,0.0025513986117247124,0.005913518538847294,0.9971787880587946,0.005303472868082063,0.0017128067089402243
ablation_cosine_train,100,tissue,fsl_light,1e-06,wsdld_20000_24000.csv,0.007468314053122444,0.0070060867171400755,0.0022333870790285227,0.0039996107868842026,0.9978012586585385,0.0006425214574056543,0.001654817010923897
ablation_cosine_train,100,tissue,fsl_light,0.0001,wsd_20000_24000.csv,0.00683636630807275,0.006316011908730665,0.002025323062944538,0.0055207461124990725,0.9982211283413929,0.0055207461124990725,0.0014774271897327893
ablation_cosine_train,100,tissue,fsl_light,0.0001,wsdld_20000_24000.csv,0.005804649851717079,0.005439326940169822,0.0017303202044587085,0.0032347696343890753,0.9986717462454253,0.001785487742298955,0.0014026414445907649
ablation_cosine_train,100,tissue,fsl_light,0.01,wsd_20000_24000.csv,0.0067490770438899525,0.0062277725204244,0.001997143000906855,0.0055295331237949,0.9982662649177085,0.0055295331237949,0.0014601602623261101
ablation_cosine_train,100,tissue,fsl_light,0.01,wsdld_20000_24000.csv,0.005716564802303595,0.00535732754582791,0.001704186263125367,0.003193737573590534,0.9987117526449711,0.0018309857463999226,0.0013847038059938699
ablation_cosine_train,100,tissue,fsl_light,1.0,wsd_20000_24000.csv,0.005815002346598396,0.005119288680280226,0.0016476835297500334,0.005537396397823705,0.9987129549334571,0.005537396397823705,0.0010928886503846695
ablation_cosine_train,100,tissue,fsl_light,1.0,wsdld_20000_24000.csv,0.004576670996557563,0.004251796175982933,0.00135565657359154,0.0026983996718215105,0.9991742884028613,0.0018382272111166563,0.0010172211911401439
ablation_cosine_train,100,mpl,fsl_light,1e-06,wsd_20000_24000.csv,0.011284093995445948,0.008301092833844526,0.002683278953393061,0.014047114468370404,0.9951535096109632,0.007695793802513819,0.0006462411118087919
ablation_cosine_train,100,mpl,fsl_light,1e-06,wsdld_20000_24000.csv,0.007074726930125166,0.006113369392102594,0.0019506095670833957,0.004648688937980567,0.9980269033427057,0.00044443354484445345,0.0005200898871490392
ablation_cosine_train,100,mpl,fsl_light,0.0001,wsd_20000_24000.csv,0.013426281399309136,0.012126900421397805,0.003887542020547631,0.009572856737400177,0.9931387150487838,0.009572856737400177,0.0013862525874473335
ablation_cosine_train,100,mpl,fsl_light,0.0001,wsdld_20000_24000.csv,0.012055658593432914,0.01112238780168957,0.0035487298038361656,0.010318868313699998,0.9942705771107933,0.010318868313699998,0.0016575090726471614
ablation_cosine_train,100,mpl,fsl_light,0.01,wsd_20000_24000.csv,0.01394163013360244,0.012648978829945345,0.004057038396103808,0.009645552290604787,0.9926018849760343,0.009645552290604787,0.0014338241161506078
ablation_cosine_train,100,mpl,fsl_light,0.01,wsdld_20000_24000.csv,0.012578380134541644,0.011613458079972373,0.0037081944042684873,0.010709082462917432,0.9937629614469842,0.010709082462917432,0.0017107415754985859
ablation_cosine_train,100,mpl,fsl_light,1.0,wsd_20000_24000.csv,0.011077458093247365,0.007939250425768835,0.00257175097341477,0.009525104360083803,0.9953293836309455,0.009525104360083803,0.00011140481550706348
ablation_cosine_train,100,mpl,fsl_light,1.0,wsdld_20000_24000.csv,0.00944206602625718,0.00699156268865837,0.0022513653356974056,0.010603011137288471,0.9964855039172678,0.010603011137288471,0.00015833069355524078
ablation_cosine_train,400,tissue,fsl_light,1e-06,wsd_20000_24000.csv,0.022630559172325225,0.021902973407017187,0.007427277291204008,0.009802608359307036,0.982108802493234,0.009802608359307036,0.006714687143294698
ablation_cosine_train,400,tissue,fsl_light,1e-06,wsdld_20000_24000.csv,0.021777652232726128,0.020280035199352512,0.006838041505712173,0.009680697055353035,0.9827914005537687,0.0034198528201731014,0.006558732979675286
ablation_cosine_train,400,tissue,fsl_light,0.0001,wsd_20000_24000.csv,0.020009529172206,0.019229253443112534,0.006507792651919269,0.010209606155853363,0.986013064259926,0.010209606155853363,0.0062659353064366125
ablation_cosine_train,400,tissue,fsl_light,0.0001,wsdld_20000_24000.csv,0.019329711166601878,0.01805789662348813,0.006079801419316073,0.009088474355133823,0.9864426708967945,0.005633947306779384,0.006080898613882737
ablation_cosine_train,400,tissue,fsl_light,0.01,wsd_20000_24000.csv,0.01977069331250608,0.018993129507290638,0.006427752859127167,0.010226485126544152,0.9863449706255611,0.010226485126544152,0.0062018749364143
ablation_cosine_train,400,tissue,fsl_light,0.01,wsdld_20000_24000.csv,0.019090821468672366,0.01784819258616873,0.00600921668156179,0.009013783039961889,0.986775701552117,0.0057224628151323325,0.006015685285690358
ablation_cosine_train,400,tissue,fsl_light,1.0,wsd_20000_24000.csv,0.013331624776965255,0.01272913664460051,0.0043244974067364415,0.010252382950400842,0.9937910951598333,0.010252382950400842,0.004062069209498568
ablation_cosine_train,400,tissue,fsl_light,1.0,wsdld_20000_24000.csv,0.012302307482789694,0.011583748936042712,0.0039054656407058745,0.006634570783201591,0.9945084294867753,0.005746279423783089,0.0038764960764594535
